repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance,risk_score,risk_level,risk_reasons
platform-backend,main,yes,yes,no,"chore/XIPP-18419;configs-igor-temp;develop;develop-XIPP-14167;feat/XIPP-14167;feature/XIPP-4674;feature/api-operadoras;feature/external-systems-status;main;refact/upgrade-java-config;sdi_pacote_cancelamento","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-operation-cnu-invoice-coparticipation,prd,yes,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-16701;feat/XIPP-17646;feat/XIPP-17818;feat/XIPP-18399;feat/XIPP-19275;feature/XIIP-14807;feature/XIPP-12823;feature/XIPP-15170;feature/XIPP-16088;feature/XIPP-16123;fix/optimize-docker-image-size;hotfix/XIPP-14790;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
server-tools,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-html_text;17.0-mig-step-1;18.0;backup-18.0-20260406;fix/validator-20260320","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
crm,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-marketing_crm_partner;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
hr-expense,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-hr_expense_advance_clearing;17.0-mig-hr_expense_tier_validation;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
storage,17.0-mig,no,yes,no,"17.0-imp-fs_attachments-kaynnan;17.0-mig;17.0-mig-old;17.0;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
queue,18.0,no,yes,no,"10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
account-invoicing,17.0-mig,no,yes,no,"17.0-mig;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
bank-payment,17.0-mig,no,yes,no,"17.0-mig;17.0;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
account-payment,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-account_due_list_payment_mode;17.0-mig-account_payment_paired_internal_transfer;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
