repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance
xipp-odoo-addons,18.0,no,yes,no,"1-111-fluxo_caixa;18.0;backup/18.0-before-oca-migration;fix/XIPP-1769188627-web-assets-main-js;fix/contract-signing-esign-xmlids;fix/duplicate-tour-key;fix/helpdesk-ticket-custom;fix/helpdesk-ticket-view-priority;fix/js-props-mismatch-bank-rec-and-helpdesk-dashboard;fix/make-private-models-installable-again;fix/menu-financeiro;fix/po-medina-helpdesk-slas;fix/pre-commit;fix/remove-v14-documents-stale;fix/report-expense-to-approve-rights;fix/translate;fix/v18-lazy-bundle-syntax-and-glob;fix/v18-post-migration-cleanup;fix/validator-20260320;fix/xipp-esing;fix/xipp-webclient-owl-v18-template;fix/1-7-pagamentos;fix/1-7-pagamentos-correcao;fix/1-17-relatorios-financeiros;fix/1-19;fix/1-100-pagamentos;fix/1-103-painel;fix/6-42-analise-status-sla;fix/9.29_tarefa;fix/10-3-signatarios","",NAO_CONFORME
security-service,main,yes,yes,yes,"EmailTokenService;bugfix/XIPP-8066;bugfix/XIPP-8656-v2;bugfix/XIPP-8656;bugfix/XIPP-8738;bugfix/XIPP-9011;bugfix/XIPP-9080;bugfix/XIPP-9161;bugfix/XIPP-9457;bugfix/XIPP-9464;bugfix/XIPP-10498;bugfix/XIPP-11438;bugfix/XIPP-12536;bugfix/XIPP-13451;bugfix/XIPP-13670-devin;bugfix/XIPP-13670-devin-develop;bugfix/XIPP-13670-devin-stage;bugfix/XIPP-13962;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop;devin/ticket-type-hierarchy-enhancement;devin/ticket-type-hierarchy-enhancement-stage;devin/1746540874-fix-hsts-vulnerability;devin/1746806331-financial-group-ticket-type;devin/1755700173-create-servicos-menu-permission-script;epic/AV-2150-develop;epic/AV-2150-prod;epic/AV-2150-stage","",PARCIAL
lp-mais-familia,main,yes,yes,yes,"develop;feat/AV-3949;feat/AV-4056-dev;feat/AV-4056-stg;feat/AV-4056;feat/AV-4084-dev;feat/AV-4084-stg;feat/AV-4084;feat/AV-4100-dev;feat/AV-4100-stg;feat/AV-4100;feat/modular-hml;fix/environment;fix/fix-bugs-jornada;fix/fix-homologacao;hml;main;pacote-release/1.1.0;release/1.136.0;stage","",PARCIAL
rpa-movement-sulamerica,prd,yes,yes,yes,"feat/XIPP-19774;feat/XIPP-20614;feat/XIPP-21159;main;prd;stg","PRD;STG",NAO_CONFORME
commons-security-xipp,main,yes,yes,yes,"chore/XIPP-12678;develop;feat/XIPP-13495;feat/XIPP-14445;feat/XIPP-15452;feat/XIPP-16162;feat/XIPP-17227;feat/XIPP-17460;feat/XIPP-19388;feat/XIPP-19391-2.79;feat/XIPP-19391-2.80;feat/XIPP-19391;feature/XIPP-12884;main;preprod;release/v2.79.0;release/v2.80.0;release/v2.84.0;stage;uat","",PARCIAL
contract-service,main,yes,yes,yes,"EPIC_XIPP-10268;Pacote_XIPP-9712_develop;Pacote_XIPP-9712;VERSAO_2_52_0;XIPP-9163-DEV;XIPP-9163-STG;XIPP-9183-DEV;XIPP-9183-STG;XIPP-12175;aaa;backup_main;bugfix/XIPP-8332;bugfix/XIPP-8372-main;bugfix/XIPP-8372_stage;bugfix/XIPP-8372;bugfix/XIPP-8618;bugfix/XIPP-8726_dev;bugfix/XIPP-8726_stg;bugfix/XIPP-8726;bugfix/XIPP-8781;bugfix/XIPP-8842;bugfix/XIPP-9163-develop;bugfix/XIPP-9163-stage;bugfix/XIPP-9163;bugfix/XIPP-9183-stg;bugfix/XIPP-9467-dev;bugfix/XIPP-9467-stg;bugfix/XIPP-9467;bugfix/XIPP-9587-stg;bugfix/XIPP-9587_part_1","",PARCIAL
payment-service,main,yes,yes,yes,"bugfix/XIPP-12987-develop;bugfix/XIPP-12987-stage;bugfix/XIPP-12987;chore/XIPP-18104;chore/XIPP-18419;chore/XIPP-19341;develop;epic/XIPP-11242-develop;epic/XIPP-11242;feat/XIPP-12678-dev;feat/XIPP-12678;feat/XIPP-13583;feat/XIPP-16162-old;feat/XIPP-16162-stage;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-20078;feature/XIPP-4674;feature/XIPP-9670;feature/XIPP-9851;java_memory_heap;key-vault;key-vault-dev;key-vault-stage;main;main-avus;preprod;release/v2.74.1;release/v2.75.0;snyk-fix-430908807b82b7e5781b7d269c6bc4ac","",PARCIAL
platform-backend,main,yes,yes,yes,"chore/XIPP-18419;configs-igor-temp;develop;develop-XIPP-14167;feat/XIPP-14167;feature/XIPP-4674;feature/api-operadoras;feature/external-systems-status;main;refact/upgrade-java-config;sdi_pacote_cancelamento;story/21001;xipp-21001","",PARCIAL
sdi-bff-service,main,yes,yes,yes,"chore/XIPP-18104;develop;feat/XIPP-16162;feat/XIPP-16647-develop;feat/XIPP-16647;feat/XIPP-17767;feat/XIPP-19391-develop;feat/XIPP-19391;feat/XIPP-19565;feat/XIPP-20078;feat/XIPP-20170;feat/pipeline-uat;feature/XIPP-16646;main;pacote-mapa-v2.76.0;preprod;release/v2.76.0;release/v2.76.1;release/v2.77.0;release/v2.80.0;release/v2.82.0;stage;uat","",PARCIAL
auth-service,main,yes,yes,yes,"aa;bugfiix/XIPP-9011;bugfix/XIPP-9161;bugfix/XIPP-13670-devin;bugfix/XIPP-13670-devin-develop;bugfix/XIPP-13670-devin-stage;bugfix/XIPP-16625;chore/XIPP-18419;develop_old;develop_with_main;develop;develop-XIPP-14452;develop-XIPP-14489;feat/AV-2096-prod;feat/AV-2096;feat/AV-2763-develop;feat/AV-2763;feat/XIPP-4880-develop;feat/XIPP-4880-fix;feat/XIPP-4880-fix-dev;feat/XIPP-4880-fix-stg;feat/XIPP-4880;feat/XIPP-12337;feat/XIPP-13535;feat/XIPP-13583;feat/XIPP-14343;feat/XIPP-14489;feat/XIPP-15597;feat/XIPP-15897;feat/XIPP-16162","",PARCIAL
flutter-code-base,main,yes,yes,no,"main","",PARCIAL
analytics-bff-service,main,yes,yes,yes,"develop;feat/XIPP-15972-NEW;feat/XIPP-15972_DEV;feat/XIPP-15972_STG;feat/XIPP-15972;feat/XIPP-15972_2.84.0;feat/XIPP-19656-dev;feat/XIPP-19656;feat/XIPP-19676;feat/XIPP-19707-dev;feat/XIPP-19707;feat/XIPP-19941;feat/XIPP-20977-20979-2.84;feat/XIPP-20977-20979;feat/XIPP-20977-dev;feat/XIPP-20977;feat/XIPP-20979-dev;feat/XIPP-20979-stg;feat/XIPP-20979;fix/dev-uat;fix/stage-uat;main;preprod;procedure-stg;release/v2.84.0;revert-61-fix/dev-uat;revert-62-fix/stage-uat;stage;uat","",PARCIAL
rpa-commons,main,yes,yes,yes,"bugfix/XIPP-14798;feat/XIPP-16701;feat/XIPP-17183;feat/XIPP-17646;feat/XIPP-17815;feat/XIPP-21095;feat/XIPP-correcao_erro;feat/xipp-14004;feature/XIPP-13537;feature/XIPP-14958;feature/XIPP-15169;feature/XIPP-15172;feature/XIPP-15505;feature/XIPP-16094;feature/XIPP-16123;feature/XIPP-16701;feature/XIPP-documentos-azure-table;feature/log_portais_acessos;feature/1752865545-github-actions-versioning;fix/XIPP-16111;fix/get_contract_porto;fix/xipp-14809;hotfix/XIPP-14790;main","",PARCIAL
mrh360-backend-infra,main,yes,yes,no,"features/application;features/management;features/networking;features/storage;infra-csd;main","",PARCIAL
mrh360-frontend-infra,main,yes,yes,no,"infra-csd;main","",PARCIAL
mrh360-cosmosdb-import,main,yes,yes,no,"main","",PARCIAL
mrh360-timesheet-backend-api-tsheet,master,no,yes,no,"master","",NAO_CONFORME
mrh360-public-api,master,no,yes,no,"develop;master","",NAO_CONFORME
mrh360-history-library,master,no,yes,no,"develop;feature/ef;master","",NAO_CONFORME
mrh360-teste-timesheet-backend-api-tsheet,main,yes,yes,no,"main","",PARCIAL
mrh360-financial-provider-swap,main,yes,yes,no,"main;refactor/swap-api-standardization","",PARCIAL
mrh360-doc-for-developer,main,yes,yes,no,"main","",PARCIAL
mrh360-rpa-busca-candidato-catho,main,yes,yes,no,"main","",PARCIAL
mrh360-importador,main,yes,yes,no,"feature/gf/importa-competencia;main","",PARCIAL
docs-generator,main,yes,yes,no,"develop;main;preprod;stage;uat","",PARCIAL
